,date,ticker,option_id,expiration,S0,div_yield,disc_rate,expiration_days,strike,implied_vol,delta,call/put,best_bid,best_offer,volume
1511,2022-12-02,AAPL,141470466,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,145.0,0.336905,-0.387797,P,13.7,14.2,499
1470,2022-12-02,AAPL,141470440,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,155.0,0.327739,0.536178,C,15.85,16.35,6
1469,2022-12-02,AAPL,141470441,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,160.0,0.320243,0.490107,C,13.5,14.05,3
1468,2022-12-02,AAPL,141470442,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,165.0,0.314107,0.444101,C,11.5,11.95,6
1467,2022-12-02,AAPL,141470443,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,170.0,0.309974,0.39965,C,9.75,10.2,154
1466,2022-12-02,AAPL,141470444,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,175.0,0.304988,0.355861,C,8.15,8.6,111
1465,2022-12-02,AAPL,141470445,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,180.0,0.299775,0.313437,C,6.75,7.15,70
1464,2022-12-02,AAPL,141470446,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,185.0,0.295662,0.274004,C,5.55,5.95,2
1482,2022-12-02,AAPL,141470447,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,190.0,0.291306,0.236825,C,4.5,4.9,0
1483,2022-12-02,AAPL,141470448,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,195.0,0.289673,0.205262,C,3.75,4.05,0
1484,2022-12-02,AAPL,141470449,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,200.0,0.288221,0.176912,C,3.05,3.4,15
1485,2022-12-02,AAPL,141470450,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,205.0,0.285405,0.150023,C,2.44,2.78,0
1500,2022-12-02,AAPL,141470451,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,210.0,0.282606,0.12608,C,1.99,2.2,0
1499,2022-12-02,AAPL,141528516,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,220.0,0.278959,0.088321,C,1.24,1.47,103
1498,2022-12-02,AAPL,141528517,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,230.0,0.279792,0.063554,C,0.84,1.01,6
1497,2022-12-02,AAPL,142291791,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,240.0,0.28382,0.0475,C,0.59,0.75,5
1496,2022-12-02,AAPL,142291792,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,250.0,0.289699,0.036774,C,0.42,0.6,3
1495,2022-12-02,AAPL,144084639,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,260.0,0.290858,0.026593,C,0.22,0.49,0
1494,2022-12-02,AAPL,144543837,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,270.0,0.292441,0.019357,C,0.15,0.35,0
1493,2022-12-02,AAPL,144543838,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,280.0,0.29673,0.014941,C,0.04,0.34,0
1501,2022-12-02,AAPL,144543839,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,290.0,0.298133,0.010924,C,0.01,0.26,0
1492,2022-12-02,AAPL,144543840,2023-09-15,147.81,0.006156552330694811,0.048612955599241045,287,300.0,0.289322,0.006159,C,0.01,0.13,0
1262,2022-12-05,AAPL,142859004,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,70.0,0.49937,-0.024359,P,0.54,0.85,3
1261,2022-12-05,AAPL,141470480,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,75.0,0.485186,-0.031852,P,0.84,0.99,6
1260,2022-12-05,AAPL,141470481,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,80.0,0.465203,-0.039392,P,0.95,1.28,40
1259,2022-12-05,AAPL,141470482,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,85.0,0.450343,-0.049556,P,1.24,1.57,0
1258,2022-12-05,AAPL,141470483,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,90.0,0.441553,-0.063441,P,1.65,2.03,56
1257,2022-12-05,AAPL,141470484,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,95.0,0.431003,-0.079092,P,2.19,2.47,0
1276,2022-12-05,AAPL,141470457,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,100.0,0.416011,-0.095486,P,2.63,2.99,64
1275,2022-12-05,AAPL,141470458,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,105.0,0.409667,-0.117817,P,3.45,3.7,71
1274,2022-12-05,AAPL,141470459,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,110.0,0.397269,-0.140597,P,4.15,4.45,47
1270,2022-12-05,AAPL,141470460,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,115.0,0.387786,-0.167644,P,5.05,5.4,397
1269,2022-12-05,AAPL,141470461,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,120.0,0.380859,-0.198767,P,6.2,6.55,58
1268,2022-12-05,AAPL,141470462,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,125.0,0.371646,-0.232206,P,7.45,7.75,77
1267,2022-12-05,AAPL,141470463,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,130.0,0.360995,-0.268547,P,8.8,9.05,13
1244,2022-12-05,AAPL,141470464,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,135.0,0.353253,-0.309055,P,10.35,10.75,28
1243,2022-12-05,AAPL,141470465,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,140.0,0.347248,-0.352723,P,12.2,12.7,47
1242,2022-12-05,AAPL,141470466,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,145.0,0.33845,-0.399029,P,14.25,14.6,7
1150,2022-12-05,AAPL,141470440,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,155.0,0.329462,0.524742,C,15.25,15.65,72
1149,2022-12-05,AAPL,141470441,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,160.0,0.324235,0.479317,C,13.2,13.4,230
1148,2022-12-05,AAPL,141470442,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,165.0,0.318473,0.433745,C,11.2,11.45,74
1147,2022-12-05,AAPL,141470443,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,170.0,0.312779,0.388737,C,9.4,9.7,25
1146,2022-12-05,AAPL,141470444,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,175.0,0.308273,0.345729,C,7.9,8.15,11
1145,2022-12-05,AAPL,141470445,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,180.0,0.303075,0.303905,C,6.5,6.8,245
1144,2022-12-05,AAPL,141470446,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,185.0,0.299118,0.265308,C,5.35,5.65,2
1161,2022-12-05,AAPL,141470447,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,190.0,0.296289,0.230468,C,4.4,4.7,34
1163,2022-12-05,AAPL,141470448,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,195.0,0.291797,0.196744,C,3.55,3.8,3
1271,2022-12-05,AAPL,141470449,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,200.0,0.288416,0.16713,C,2.79,3.15,26
1272,2022-12-05,AAPL,141470450,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,205.0,0.286554,0.142061,C,2.29,2.55,4
1291,2022-12-05,AAPL,141470451,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,210.0,0.285868,0.12105,C,1.88,2.1,221
1273,2022-12-05,AAPL,141528516,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,220.0,0.282951,0.085257,C,1.18,1.42,70
1290,2022-12-05,AAPL,141528517,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,230.0,0.281311,0.05948,C,0.66,1.04,2
1289,2022-12-05,AAPL,142291791,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,240.0,0.287067,0.04542,C,0.51,0.76,2
1288,2022-12-05,AAPL,142291792,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,250.0,0.294098,0.035788,C,0.42,0.57,151
1287,2022-12-05,AAPL,144084639,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,260.0,0.29392,0.025327,C,0.21,0.46,0
1286,2022-12-05,AAPL,144543837,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,270.0,0.29788,0.019286,C,0.15,0.35,0
1285,2022-12-05,AAPL,144543838,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,280.0,0.299957,0.014266,C,0.16,0.2,1
1284,2022-12-05,AAPL,144543839,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,290.0,0.305926,0.01154,C,0.03,0.26,0
1283,2022-12-05,AAPL,144543840,2023-09-15,146.63,0.006206096978790153,0.04868289452321331,284,300.0,0.302299,0.007553,C,0.07,0.11,31
1105,2022-12-06,AAPL,142859004,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,70.0,0.484972,-0.025066,P,0.6,0.75,0
1087,2022-12-06,AAPL,141470480,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,75.0,0.477599,-0.034549,P,0.75,1.17,0
1104,2022-12-06,AAPL,141470481,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,80.0,0.461966,-0.04402,P,1.04,1.41,2
1103,2022-12-06,AAPL,141470482,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,85.0,0.45158,-0.056767,P,1.43,1.79,9
1102,2022-12-06,AAPL,141470483,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,90.0,0.440103,-0.071443,P,1.87,2.24,2
1101,2022-12-06,AAPL,141470484,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,95.0,0.431191,-0.089513,P,2.47,2.8,6
964,2022-12-06,AAPL,141470457,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,100.0,0.418231,-0.108694,P,3.15,3.3,132
963,2022-12-06,AAPL,141470458,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,105.0,0.408771,-0.132084,P,3.85,4.15,144
962,2022-12-06,AAPL,141470459,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,110.0,0.399324,-0.158537,P,4.7,5.1,113
961,2022-12-06,AAPL,141470460,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,115.0,0.389545,-0.188019,P,5.8,6.05,171
960,2022-12-06,AAPL,141470461,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,120.0,0.379918,-0.220827,P,7.0,7.2,32
959,2022-12-06,AAPL,141470462,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,125.0,0.370688,-0.257138,P,8.3,8.6,45
958,2022-12-06,AAPL,141470463,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,130.0,0.361964,-0.296981,P,9.85,10.15,88
1033,2022-12-06,AAPL,141470464,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,135.0,0.354152,-0.340066,P,11.65,11.9,97
1076,2022-12-06,AAPL,141470465,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,140.0,0.348266,-0.386144,P,13.7,14.0,724
942,2022-12-06,AAPL,141470439,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,150.0,0.337108,0.535753,C,15.65,16.0,137
941,2022-12-06,AAPL,141470440,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,155.0,0.330529,0.489552,C,13.4,13.75,45
940,2022-12-06,AAPL,141470441,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,160.0,0.32535,0.443795,C,11.35,11.85,45
939,2022-12-06,AAPL,141470442,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,165.0,0.318165,0.397357,C,9.6,9.85,28
938,2022-12-06,AAPL,141470443,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,170.0,0.314709,0.354441,C,8.1,8.35,42
937,2022-12-06,AAPL,141470444,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,175.0,0.31117,0.313456,C,6.7,7.1,23
936,2022-12-06,AAPL,141470445,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,180.0,0.306634,0.273825,C,5.6,5.8,213
935,2022-12-06,AAPL,141470446,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,185.0,0.304415,0.238986,C,4.65,4.85,33
934,2022-12-06,AAPL,141470447,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,190.0,0.299872,0.204661,C,3.75,3.95,105
954,2022-12-06,AAPL,141470448,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,195.0,0.297311,0.17531,C,3.0,3.3,16
953,2022-12-06,AAPL,141470449,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,200.0,0.294844,0.148982,C,2.41,2.71,2
952,2022-12-06,AAPL,141470450,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,205.0,0.29485,0.128024,C,2.01,2.25,40
951,2022-12-06,AAPL,141470451,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,210.0,0.292801,0.107682,C,1.59,1.85,0
950,2022-12-06,AAPL,141528516,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,220.0,0.291206,0.076587,C,1.06,1.23,7
955,2022-12-06,AAPL,141528517,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,230.0,0.292044,0.055192,C,0.68,0.89,1
956,2022-12-06,AAPL,142291791,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,240.0,0.290297,0.038034,C,0.45,0.57,11
975,2022-12-06,AAPL,142291792,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,250.0,0.29822,0.030357,C,0.32,0.49,22
957,2022-12-06,AAPL,144084639,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,260.0,0.302846,0.023292,C,0.16,0.45,0
974,2022-12-06,AAPL,144543837,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,270.0,0.310479,0.019102,C,0.15,0.35,0
973,2022-12-06,AAPL,144543838,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,280.0,0.307463,0.012878,C,0.1,0.22,1
971,2022-12-06,AAPL,144543840,2023-09-15,142.91,0.00636764397173046,0.04877653914370789,283,300.0,0.309503,0.006818,C,0.06,0.1,251
171,2022-12-07,AAPL,142859004,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,70.0,0.490094,-0.027879,P,0.62,0.9,8
170,2022-12-07,AAPL,141470480,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,75.0,0.477285,-0.036923,P,0.87,1.17,9
169,2022-12-07,AAPL,141470481,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,80.0,0.466763,-0.04842,P,1.17,1.56,6
168,2022-12-07,AAPL,141470482,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,85.0,0.451895,-0.060779,P,1.61,1.83,9
356,2022-12-07,AAPL,141470483,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,90.0,0.448532,-0.079145,P,2.15,2.53,55
357,2022-12-07,AAPL,141470484,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,95.0,0.428909,-0.09454,P,2.57,2.94,4
208,2022-12-07,AAPL,141470457,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,100.0,0.420069,-0.116453,P,3.4,3.55,781
207,2022-12-07,AAPL,141470458,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,105.0,0.410557,-0.141106,P,4.1,4.5,5
206,2022-12-07,AAPL,141470459,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,110.0,0.399192,-0.168205,P,5.1,5.3,28
205,2022-12-07,AAPL,141470460,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,115.0,0.392113,-0.200106,P,6.2,6.55,72
204,2022-12-07,AAPL,141470461,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,120.0,0.382524,-0.234348,P,7.45,7.8,52
203,2022-12-07,AAPL,141470462,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,125.0,0.374388,-0.27233,P,8.9,9.3,314
202,2022-12-07,AAPL,141470463,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,130.0,0.365957,-0.313409,P,10.6,10.9,769
201,2022-12-07,AAPL,141470464,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,135.0,0.357657,-0.35756,P,12.4,12.8,104
209,2022-12-07,AAPL,141470465,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,140.0,0.349183,-0.404673,P,14.4,14.9,91
275,2022-12-07,AAPL,141470439,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,150.0,0.342211,0.518333,C,14.75,15.25,49
271,2022-12-07,AAPL,141470440,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,155.0,0.336283,0.472635,C,12.65,13.1,123
293,2022-12-07,AAPL,141470441,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,160.0,0.330854,0.427341,C,10.8,11.15,183
270,2022-12-07,AAPL,141470442,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,165.0,0.325016,0.382561,C,9.1,9.4,922
269,2022-12-07,AAPL,141470443,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,170.0,0.318841,0.338691,C,7.5,7.9,270
268,2022-12-07,AAPL,141470444,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,175.0,0.315339,0.298789,C,6.3,6.6,2177
267,2022-12-07,AAPL,141470445,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,180.0,0.310372,0.259886,C,5.15,5.45,658
266,2022-12-07,AAPL,141470446,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,185.0,0.307903,0.226028,C,4.3,4.5,40
265,2022-12-07,AAPL,141470447,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,190.0,0.305341,0.194981,C,3.5,3.75,127
264,2022-12-07,AAPL,141470448,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,195.0,0.301927,0.166011,C,2.73,3.15,13
263,2022-12-07,AAPL,141470449,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,200.0,0.299168,0.140603,C,2.22,2.54,13
262,2022-12-07,AAPL,141470450,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,205.0,0.29716,0.118782,C,1.79,2.07,36
261,2022-12-07,AAPL,141470451,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,210.0,0.29675,0.101087,C,1.44,1.74,18
260,2022-12-07,AAPL,141528516,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,220.0,0.295005,0.071628,C,0.98,1.13,4
259,2022-12-07,AAPL,141528517,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,230.0,0.29598,0.051655,C,0.57,0.88,2
258,2022-12-07,AAPL,142291791,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,240.0,0.303844,0.040991,C,0.45,0.69,2
257,2022-12-07,AAPL,142291792,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,250.0,0.300277,0.027566,C,0.22,0.5,1
256,2022-12-07,AAPL,144084639,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,260.0,0.307889,0.022273,C,0.13,0.45,0
255,2022-12-07,AAPL,144543837,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,270.0,0.317572,0.019013,C,0.15,0.35,0
254,2022-12-07,AAPL,144543838,2023-09-15,140.94,0.006456648219100327,0.04885397810974356,282,280.0,0.317734,0.013782,C,0.1,0.25,0
